folder,file,type,name,state
1,00001.png,2,4,1
1,00002.png,2,2,1
1,00003.png,2,4,1
1,00004.png,2,1,1
1,00005.png,2,4,1
1,00006.png,1,4,1
1,00007.png,1,4,1
1,00008.png,3,1,1
1,00009.png,3,1,1
1,00010.png,1,4,1
1,00011.png,2,3,1
1,00012.png,3,2,1
1,00013.png,1,4,1
1,00014.png,3,1,1
1,00015.png,2,5,2
1,00016.png,1,1,1
1,00017.png,2,5,3
1,00018.png,3,1,1
1,00019.png,1,2,1
1,00020.png,0,0,0
1,00021.png,1,4,1
1,00022.png,3,1,1
1,00023.png,3,1,1
1,00024.png,3,3,1
1,00025.png,1,4,1
1,00026.png,2,1,1
1,00027.png,1,4,1
1,00028.png,2,3,1
1,00029.png,2,4,1
1,00030.png,1,4,1
1,00031.png,2,5,3
1,00032.png,2,2,1
1,00033.png,1,3,1
1,00034.png,2,1,1
1,00035.png,2,4,1
1,00036.png,2,5,3
1,00037.png,2,1,1
1,00038.png,3,1,1
1,00039.png,1,2,1
1,00040.png,1,2,1
1,00041.png,1,3,1
1,00042.png,2,5,3
1,00043.png,3,1,1
1,00044.png,1,4,1
1,00045.png,2,4,1
1,00046.png,2,2,1
1,00047.png,3,1,1
1,00048.png,2,6,2
1,00049.png,1,3,1
1,00050.png,1,3,1
1,00051.png,2,2,1
1,00052.png,1,3,1
1,00053.png,1,4,1
1,00054.png,2,2,1
1,00055.png,2,6,3
1,00056.png,3,1,1
1,00057.png,1,4,1
1,00058.png,1,3,1
1,00059.png,3,1,1
1,00060.png,0,0,0
1,00061.png,0,0,0
1,00062.png,3,1,1
1,00063.png,2,2,1
1,00064.png,1,3,1
1,00065.png,2,2,1
1,00066.png,2,2,1
1,00067.png,2,5,2
1,00068.png,0,0,0
1,00069.png,2,5,2
1,00070.png,1,2,1
1,00071.png,2,6,3
1,00072.png,1,1,1
1,00073.png,2,3,1
1,00074.png,1,3,1
1,00075.png,2,4,1
1,00076.png,3,1,1
1,00077.png,2,2,1
1,00078.png,3,1,1
1,00079.png,1,4,1
1,00080.png,1,4,1
1,00081.png,1,2,1
1,00082.png,0,0,0
1,00083.png,1,4,1
1,00084.png,1,4,1
1,00085.png,1,4,1
1,00086.png,2,2,1
1,00087.png,0,0,0
1,00088.png,3,1,1
1,00089.png,1,3,1
1,00090.png,3,1,1
1,00091.png,1,4,1
1,00092.png,3,2,1
1,00093.png,2,5,2
1,00094.png,2,5,3
1,00095.png,1,1,1
1,00096.png,2,1,1
1,00097.png,2,5,2
1,00098.png,2,5,2
1,00099.png,1,4,1
1,00100.png,1,4,1
1,00101.png,2,2,1
1,00102.png,0,0,0
1,00103.png,2,5,2
1,00104.png,1,4,1
1,00105.png,1,4,1
1,00106.png,2,2,1
1,00107.png,3,1,1
1,00108.png,1,4,1
1,00109.png,2,5,2
1,00110.png,2,5,2
1,00111.png,0,0,0
1,00112.png,2,2,1
1,00113.png,1,4,1
1,00114.png,2,3,1
1,00115.png,2,1,1
1,00116.png,1,4,1
1,00117.png,1,4,1
1,00118.png,2,5,2
1,00119.png,1,1,1
1,00120.png,2,5,3
1,00121.png,0,0,0
1,00122.png,3,1,1
1,00123.png,0,0,0
1,00124.png,1,4,1
1,00125.png,2,3,1
1,00126.png,1,3,1
1,00127.png,2,4,1
1,00128.png,3,1,1
1,00129.png,3,2,1
1,00130.png,2,2,1
1,00131.png,1,3,1
1,00132.png,1,3,1
1,00133.png,3,2,1
1,00134.png,3,2,1
1,00135.png,2,5,3
1,00136.png,1,4,1
1,00137.png,1,3,1
1,00138.png,3,2,1
1,00139.png,1,3,1
1,00140.png,2,5,3
1,00141.png,1,4,1
1,00142.png,1,3,1
1,00143.png,3,1,1
1,00144.png,3,1,1
1,00145.png,2,5,3
1,00146.png,1,4,1
1,00147.png,1,3,1
1,00148.png,1,2,1
1,00149.png,1,2,1
1,00150.png,3,1,1
1,00151.png,3,1,1
1,00152.png,2,2,1
1,00153.png,0,0,0
1,00154.png,2,2,1
1,00155.png,1,3,1
1,00156.png,2,1,1
1,00157.png,3,1,1
